39,conf/colt/Maass91,On-Line Learning with an Oblivious Environment and the Power of Randomization.,Wolfgang Maass   ,1991
40,conf/stoc/Maass93,Bounds for the computational power and learning complexity of analog neural nets.,Wolfgang Maass   ,1993
41,conf/aaai/LevesqueCN90,On Acting Together.,Hector J. Levesque   Philip R. Cohen   Jos eacute,
42,conf/icip/BylundAK05,Interactive 3D filter design for ultrasound artifact reduction.,Nina Eriksson Bylund   Mats T. Andersson   Hans Knutsson   ,2005
43,journals/tods/AgrawalCL87,Concurrency Control Performance Modeling Alternatives and Implications.,Rakesh Agrawal   Michael J. Carey   Miron Livny   ,1987
44,journals/software/ShrivastavaDP91,An Overview of the Arjuna Distributed Programming System.,Santosh K. Shrivastava   Graeme N. Dixon   Graham D. Parrington   ,1991
45,conf/agents/PappachanD01,A satisficing multiagent plan coordinating algorithm for dynamic domains.,Pradeep M. Pappachan   Edmund H. Durfee   ,2001
46,conf/c++/VlissidesL88,Applying Object-Oriented Design to Structured Graphics.,John M. Vlissides   Mark A. Linton   ,1988
47,journals/sigplan/Skarra89,Concurrency control for cooperating transactions in an object-oriented database.,Andrea H. Skarra   ,1989
48,journals/corr/cs-CY-0304032,Growth in the New Economy U.S. Bandwidth Use and Pricing Across the 1990s,Douglas A. Galbi   ,2003
49,journals/ton/GibbensKT93,Dynamic routing in multiparented networks.,Richard J. Gibbens   Frank P. Kelly   Stephen R. E. Turner   ,1993
50,conf/oopsla/BalK93,Object Distribution in Orca using Compile-Time and Run-Time Techniques.,Henri E. Bal   M. Frans Kaashoek   ,1993
51,journals/tkde/DasguptaNMM99,MAgNET Mobile Agents for Networked Electronic Trading.,Prithviraj Dasgupta   Nitya Narasimhan   Louise E. Moser   P. M. Melliar-Smith   ,1999
52,conf/rtss/MoserM94,Probabilistic Bounds on Message Delivery for the Totem Single-Ring Protocol.,Louise E. Moser   P. M. Melliar-Smith   ,1994
53,conf/icppw/MoserMKB99,A Group Communication Protocol for CORBA.,Louise E. Moser   P. M. Melliar-Smith   Ruppert R. Koch   K. Berket   ,1999
54,conf/sc/WattsSG92,Techniques for Integrating Parallelizing Transformations and Compiler-Based Scheduling Methods.,Tia M. Watts   Mary Lou Soffa   Rajiv Gupta   ,1992
55,conf/focs/ChaudhuriR92,The Complexity of Parallel Prefix Problems on Small Domains,Carsten Lund   Lance Fortnow   Howard J. Karloff   Noam Nisan   ,1992
56,conf/slp/RamakrishnanRSS94,Efficient Incremental Evaluation of Queries with Aggregation.,Raghu Ramakrishnan   Kenneth A. Ross   Divesh Srivastava   S. Sudarshan   ,1994
57,conf/stacs/Bar-YehudaKWZ87,Making Distributed Spanning Tree Algorithms Fault-Resilient.,Reuven Bar-Yehuda   Shay Kutten   Yaron Wolfstahl   Shmuel Zaks   ,1987
58,conf/ecai/Sabah90,CARAMEL A Computational Model of Natural Language Understanding Using a Parallel Implementation.,G eacute,
59,journals/ieicet/TroncosoK06,Trigger-Based Language Model Adaptation for Automatic Transcription of Panel Discussions.,Carlos Troncoso   Tatsuya Kawahara   ,2006
60,conf/awic/Herrera-ViedmaPOHM03,Evaluating the Informative Quality of Web Sites by Fuzzy Computing with Words.,Enrique Herrera-Viedma   Eduardo Peis   Mar iacute,
61,conf/iccv/Grimson88,The Combinatorics Of Object Recognition In Cluttered Environments Using Constrained Search.,W. Eric L. Grimson   ,1988
62,conf/iccv/Grimson88,The Combinatorics Of Object Recognition In Cluttered Environments Using Constrained Search.,W. Eric L. Grimson   ,1988
63,conf/ACMse/FuquayW90,Genetic algorithm solutions for the traveling salesman problem.,D'Ann Fuquay   L. Darrell Whitley   ,1990
64,journals/iee/ShrivastavaW98,Architectural support for dynamic reconfiguration of distributed workflow applications.,Santosh K. Shrivastava   Stuart M. Wheater   ,1998
65,conf/edcc/SinghMM05,Integrating Fault Tolerance and Load Balancing in Distributed Systems Based on CORBA.,A. V. Singh   Louise E. Moser   P. M. Melliar-Smith   ,2005
66,conf/chi/ChalfonteFK91,Expressive richness a comparison of speech and text as media for revision.,Barbara L. Chalfonte   Robert S. Fish   Robert E. Kraut   ,1991
67,journals/aim/HenrionBH91,Decision Analysis and Expert Systems.,Max Henrion   John S. Breese   Eric Horvitz   ,1991
68,conf/rta/Elliott89,Higher-order Unification with Dependent Function Types.,Conal Elliott   ,1989
69,conf/icci/Chen90,Efficient Deterministic Parallel Algorithms for Integer Sorting.,Lin Chen   ,1990
70,conf/ecai/Guez90,A Model for the Automatic Processing of Argumentative Dialogues.,S. Guez   ,1990
71,journals/comcom/TanenbaumKRB91,The Amoeba distributed operating system - A status report.,Andrew S. Tanenbaum   M. Frans Kaashoek   Robbert van Renesse   Henri E. Bal   ,1991
72,conf/interspeech/Carson-BerndsenW01,Defining constraints for multilinear speech processing.,Julie Carson-Berndsen   Michael Walsh   ,2001
73,journals/corr/abs-cs-0612083,A Byzantine Fault Tolerant Distributed Commit Protocol,Wenbing Zhao   ,2006
74,conf/aied/WalkerRK11,Using Automated Dialog Analysis to Assess Peer Tutoring and Trigger Effective Support.,Erin Walker   Nikol Rummel   Kenneth R. Koedinger   ,2011
75,conf/naacl/HaghighiK10,Coreference Resolution in a Modular Entity-Centered Model.,Aria Haghighi   Dan Klein   ,2010
76,conf/acl/PoonD10,Unsupervised Ontology Induction from Text.,Hoifung Poon   Pedro Domingos   ,2010
77,conf/aaai/PoonD07,Joint Inference in Information Extraction.,Hoifung Poon   Pedro Domingos   ,2007
78,journals/is/Eugenio87,Cooperative behaviour in the FIDO system.,Barbara Di Eugenio   ,1987
79,journals/dm/Zeilberger84b,A combinatorial proof of Newton's identities.,Doron Zeilberger   ,1984
80,journals/cn/Ackerley90,The Future for Quality of Service Modelling.,Roger G. Ackerley   ,1990
81,journals/sigpro/Hahn03,On the uniqueness of the definition of the amplitude and phase of the analytic signal.,Stefan L. Hahn   ,2003
82,journals/pami/Lindeberg93,Effective Scale A Natural Unit for Measuring Scale-Space Lifetime.,Tony Lindeberg   ,1993
83,conf/hopl/GriswoldG93,History of the Icon Programming Language.,Ralph E. Griswold   Madge T. Griswold   ,1993
84,journals/pami/KodratoffT88,Learning Based on Conceptual Distance.,Yves Kodratoff   Gheorghe Tecuci   ,1988
85,conf/seke/LiangT95,Apprenticeship Learning of Domain Models.,Yinqing Liang   Gheorghe Tecuci   ,1995
86,journals/stp/Spinellis93,Implementing Haskell Language Implementation as a Tool Building Exercise.,Diomidis Spinellis   ,1993
87,conf/dexa/Spinellis94,The Design and Implementation of a Legal Text Database.,Diomidis Spinellis   ,1994
88,journals/mlq/Kikuchi94,A Note on Boolos' Proof of the Incompleteness Theorem.,Makoto Kikuchi   ,1994
89,conf/uai/Wellman86,Qualitativce probabilistic networks for planning under uncertainty.,Michael P. Wellman   ,1986
90,conf/caap/Schwartzbach90,Infinite Values in Hierarchical Imperative Types.,Michael I. Schwartzbach   ,1990
91,journals/jiis/GainesS92,Integrated Knowledge Acquisition Architectures.,Brian R. Gaines   Mildred L. G. Shaw   ,1992
92,journals/jiis/Gaines97,Knowledge Management in Societies of Intelligent Adaptive Agents.,Brian R. Gaines   ,1997
93,conf/ogai/ThrunML90,Adaptive Look-Ahead Planning.,Sebastian Thrun   Knut M ouml,
94,conf/pldi/ReppyR96,Simple Objects for Standard ML.,John H. Reppy   Jon G. Riecke   ,1996
95,conf/zum/WinterS03,Compositional Verification for Object-Z.,Kirsten Winter   Graeme Smith   ,2003
96,journals/mst/Gallier80,On The Existence of Optimal Fixpoints.,Jean H. Gallier   ,1980
97,journals/mss/AnderliniS01,Cooperation and computability in n-player games.,Luca Anderlini   Hamid Sabourian   ,2001
98,conf/nips/LeungGPZ90,Phonetic Classification and Recognition Using the Multi-Layer Perceptron.,Hong C. Leung   James R. Glass   Michael S. Phillips   Victor Zue   ,1990
99,conf/se/BucklEMS10,Teaching Enterprise Architecture Management with Student Mini-Projects.,Sabine Buckl   Alexander M. Ernst   Florian Matthes   Christian M. Schweda   ,2010
100,conf/si3d/HsiungTW90,T-buffer fast visualization of relativistic effects in space-time.,Ping-Kang Hsiung   Robert H. Thibadeau   Michael Wu   ,1990
101,journals/sigops/KasshoekRST92,FLIP an Internetwork Protocol for Supporting Distributed Systems (Abstract).,M. Frans Kaashoek   Robbert van Renesse   Hans van Staveren   Andrew S. Tanenbaum   ,1992
102,conf/iv/LanzenbergerMP03,The Stardinates - Visualizing Highly Structured Data.,Monika Lanzenberger   Silvia Miksch   Margit Pohl   ,2003
103,journals/debu/Moss86,Getting the Operating System Out of the Way.,J. Eliot B. Moss   ,1986
104,conf/concur/GuptaJS96,Models for Concurrent Constraint Programming.,Vineet Gupta   Radha Jagadeesan   Vijay A. Saraswat   ,1996
105,journals/ci/BeekC90,Exact and approximate reasoning about temporal relations.,Peter van Beek   Robin Cohen   ,1990
106,conf/acl/Abeille90,Lexical and Syntactic Rules in a Tree Adjoining Grammar.,Anne Abeill eacute,
107,journals/corr/cmp-lg-9704010,The Theoretical Status of Ontologies in Natural Language Processing,John A. Bateman   ,1997
108,conf/cbms/Knight90,Issues of software reliability in medical systems.,John C. Knight   ,1990
109,conf/srds/Melliar-SmithM04,Progress in Real-Time Fault Tolerance.,P. M. Melliar-Smith   Louise E. Moser   ,2004
110,conf/ftcs/MoserMA95,The Totem System.,Louise E. Moser   P. M. Melliar-Smith   Deborah A. Agarwal   ,1995
111,conf/acm/MoiinMM93,Better Late Than Never.,Hossein Moiin   P. M. Melliar-Smith   Louise E. Moser   ,1993
112,conf/IEEEares/MoserMZ06,Making Web Services Dependable.,Louise E. Moser   P. M. Melliar-Smith   Wenbing Zhao   ,2006
113,conf/sde/Snodgrass84,Monitoring in a Software Development Environment A Relational Approach.,Richard T. Snodgrass   ,1984
114,conf/tark/BurrowsAN88,Authentication A Practical Study in Belief and Action.,Michael Burrows   Mart iacute,
115,conf/crypto/ZhengMI90,Structural Properties of One-way Hash Functions.,Yuliang Zheng   Tsutomu Matsumoto   Hideki Imai   ,1990
116,conf/nips/KimMB05,Robust Fisher Discriminant Analysis.,Seung-Jean Kim   Alessandro Magnani   Stephen P. Boyd   ,2005
117,conf/tark/BurrowsAN88,Authentication A Practical Study in Belief and Action.,Michael Burrows   Mart iacute,
118,conf/fqas/ChristiansenA96,An Experimental Prototype for Flexible Query-Answering Mechanisms - A Metainterpretation Approach.,Henning Christiansen   Troels Andreasen   ,1996
119,conf/iccv/KrummS95,Texture Segmentation and Shape in the Same Image.,John Krumm   Steven A. Shafer   ,1995
120,conf/tke/Skuce93,A System for Managing Knowledge and Terminology for Technical Documentation.,Douglas R. Skuce   ,1993
121,conf/tark/BurrowsAN88,Authentication A Practical Study in Belief and Action.,Michael Burrows   Mart iacute,
122,journals/tcsv/RasheedSS05,On the use of computable features for film classification.,Zeeshan Rasheed   Yaser Sheikh   Mubarak Shah   ,2005
123,journals/ci/BeekCS93,From Plan Critiquing to Clarification Dialogue for Cooperative ResponseGeneration.,Peter van Beek   Robin Cohen   Ken Schmidt   ,1993
124,journals/speech/CohenL94,Preliminaries to a collaborative model of dialogue.,Philip R. Cohen   Hector J. Levesque   ,1994
125,conf/ijcai/Koza89,Hierarchical Genetic Algorithms Operating on Populations of Computer Programs.,John R. Koza   ,1989
126,conf/sigmod/PangCL94,Managing Memory for Real-Time Queries.,HweeHwa Pang   Michael J. Carey   Miron Livny   ,1994
127,conf/foga/SpearsJ90,An Analysis of Multi-Point Crossover.,William M. Spears   Kenneth A. De Jong   ,1990
128,conf/icde/CabibboPT06,DaWaII a Tool for the Integration of Autonomous Data Marts.,Luca Cabibbo   Ivan Panella   Riccardo Torlone   ,2006
129,conf/cpe/BauseBK98,A Toolbox for Functional and Quantitative Analysis of DEDS.,Falko Bause   Peter Buchholz   Peter Kemper   ,1998
130,conf/ewdw/MatthesS90,Towards Database Application Systems Types Kinds and Other Open Invitations.,Florian Matthes   Joachim W. Schmidt   ,1990
131,journals/cj/Rijsbergen86,A Non-Classical Logic for Information Retrieval.,C. J. van Rijsbergen   ,1986
132,journals/corr/abs-0712-0131,Learning Similarity for Character Recognition and 3D Object Recognition,Thomas M. Breuel   ,2007
133,conf/icnc/BaiCY05,An Immune Partheno-Genetic Algorithm for Winner Determination in Combinatorial Auctions.,JianCong Bai   HuiYou Chang   Yang Yi   ,2005
134,conf/cis/ChenCHL08,Hybrid Algorithm for Winner Determination Problem in Combinatorial Auctions.,Li Chen   Xiaoyun Chen   Shanli Hu   Yunguo Lin   ,2008
135,conf/isaac/KloksB92,Approximating Treewidth and Pathwidth of some Classes of Perfect Graphs.,Ton Kloks   Hans L. Bodlaender   ,1992
136,journals/pami/PrinceW90,Reconstructing Convex Sets from Support Line Measurements.,Jerry L. Prince   Alan S. Willsky   ,1990
137,journals/tip/PrinceW93,Hierarchical reconstruction using geometry and sinogram restoration.,Jerry L. Prince   Alan S. Willsky   ,1993
138,journals/cvgip/PrinceW91,Convex set reconstruction using prior shape information.,Jerry L. Prince   Alan S. Willsky   ,1991
139,journals/tkde/RaoAV00,The Cost of Recovery in Message Logging Protocols.,Sriram Rao   Lorenzo Alvisi   Harrick M. Vin   ,2000
140,journals/fmsd/Russinoff99,A Mechanically Checked Proof of Correctness of the AMD K5 Floating Point Square Root Microcode.,David M. Russinoff   ,1999
141,conf/icnp/ChenMM96,Flow Control Techniques for Multicasting in Gigabit Networks.,Xiaomin Chen   Louise E. Moser   P. M. Melliar-Smith   ,1996
142,conf/icccn/ThomopoulosMM97,Analyzing the latency of the Totem multicast protocols.,Efstratios Thomopoulos   Louise E. Moser   P. M. Melliar-Smith   ,1997
143,conf/words/NarasimhanMM01,Strong Replica Consistency for Fault-Tolerant CORBA Applications.,Priya Narasimhan   Louise E. Moser   P. M. Melliar-Smith   ,2001
144,conf/icws/ZhaoMM05,A Reservation-Based Coordination Protocol for Web Services.,Wenbing Zhao   Louise E. Moser   P. M. Melliar-Smith   ,2005
145,conf/coots/NarasimhanMM97a,The Interception Approach to Reliable Distributed CORBA Objects.,Priya Narasimhan   Louise E. Moser   P. M. Melliar-Smith   ,1997
146,conf/icml/KimMB06,Optimal kernel selection in Kernel Fisher discriminant analysis.,Seung-Jean Kim   Alessandro Magnani   Stephen P. Boyd   ,2006
147,conf/tke/SkuceM90,Computer-Assisted Concept Analysis An Essential Component of a Terminologist's Workstation.,Douglas R. Skuce   Ingrid Meyer   ,1990
148,conf/acl/McCoyVY92,A Functional Approach to Generation with TAG.,Kathleen F. McCoy   K. Vijay-Shanker   Gijoo Yang   ,1992
149,conf/deductive/SudarshanR92,Optimizations of Bottom-Up Evaluation with Non-Ground Terms (Extended Abstract).,S. Sudarshan   Raghu Ramakrishnan   ,1992
150,conf/icde/DatTI05,A speech enhancement system based on data clustering and cumulative histogram equalization.,Tran Huy Dat   Kazuya Takeda   Fumitada Itakura   ,2005
151,conf/interspeech/SaruwatariKTIS00,Blind source separation based on subband ICA and beamforming.,Hiroshi Saruwatari   Satoshi Kurita   Kazuya Takeda   Fumitada Itakura   Kiyohiro Shikano   ,2000
152,conf/interspeech/LiTID04,Speech enhancement based on magnitude estimation using the gamma prior.,Weifeng Li   Kazuya Takeda   Fumitada Itakura   Tran Huy Dat   ,2004
153,conf/soups/BesmerWL10,The impact of social navigation on privacy policy configuration.,Andrew Besmer   Jason Watson   Heather Richter Lipford   ,2010
154,journals/tcad/ChanS89,Bounds on signal delay in RC mesh networks.,Pak K. Chan   Martine D. F. Schlag   ,1989
155,journals/corr/abs-1109-5559,High performance cosmological simulations on a grid of supercomputers,Derek Groen   Steven Rieder   Simon Portegies Zwart   ,2011
156,journals/toplas/WiledenCW90,A Comparative Evaluation of Object Definition Techniques.,Jack C. Wileden   Lori A. Clarke   Alexander L. Wolf   ,1990
157,journals/sigmod/HiddersMPV05,LiXQuery a formal foundation for XQuery research.,Jan Hidders   Philippe Michiels   Jan Paredaens   Roel Vercammen   ,2005
158,conf/xsym/HiddersPVD04,A Light but Formal Introduction to XQuery.,Jan Hidders   Jan Paredaens   Roel Vercammen   Serge Demeyer   ,2004
